,RMSE
"(0, 0, 0)",0.1117149447964106
"(0, 0, 1)",0.11189653094577869
"(0, 0, 2)",0.11036933653292282
"(0, 0, 3)",0.11195209254334988
"(0, 0, 4)",0.1085851436820207
"(0, 0, 5)",0.1109558809735627
"(0, 0, 6)",0.11437180218088107
"(0, 0, 7)",0.1067821209246214
"(0, 1, 0)",0.12590439908742168
"(0, 1, 1)",0.11171502499413717
"(0, 1, 2)",0.11189365554206285
"(0, 1, 3)",0.11070494964174739
"(0, 1, 4)",0.11169007527237922
"(0, 1, 5)",0.10782623327534423
"(0, 1, 6)",0.10957916511607103
"(0, 1, 7)",0.11352928591109615
"(1, 0, 0)",0.11186933455433976
"(1, 0, 1)",0.10971103644215129
"(1, 0, 2)",0.11038505773292212
"(1, 0, 3)",0.110522175373783
"(1, 0, 4)",0.10843659438677933
"(1, 0, 5)",0.10855643193010159
"(1, 0, 6)",0.113580394843352
"(1, 0, 7)",0.11253368854826247
"(1, 1, 0)",0.12787565656320315
"(1, 1, 1)",0.11187231345112983
"(1, 1, 2)",0.10971450314023087
"(1, 1, 3)",0.10974387317787217
"(1, 1, 4)",0.11011001523082194
"(1, 1, 5)",0.10964528505135315
"(1, 1, 6)",0.10780674159019572
"(1, 1, 7)",0.10869291823198866
"(2, 0, 0)",0.11229261005056368
"(2, 0, 1)",0.11407611131714138
"(2, 0, 2)",0.11121449502315467
"(2, 0, 3)",0.10883503046943822
"(2, 0, 4)",0.10759297698436471
"(2, 0, 5)",0.10929630295512853
"(2, 0, 6)",0.10860191104239196
"(2, 0, 7)",0.10521313523911369
"(2, 1, 0)",0.11344485795756838
"(2, 1, 1)",0.11227477849208368
"(2, 1, 2)",0.10973201828857558
"(2, 1, 3)",0.10958488585589618
"(2, 1, 4)",0.10713463486316138
"(2, 1, 5)",0.1086459881508925
"(2, 1, 6)",0.10833952380394969
"(2, 1, 7)",0.10560670378250496
"(3, 0, 0)",0.1125816645068037
"(3, 0, 1)",0.1169045768114583
"(3, 0, 2)",0.11143689095815329
"(3, 0, 3)",0.11632494080901402
"(3, 0, 4)",0.1072824155352425
"(3, 0, 5)",0.10853229973817365
"(3, 0, 6)",0.10992791196721335
"(3, 0, 7)",0.0999612258799178
"(3, 1, 0)",0.11281388983594062
"(3, 1, 1)",0.11255041745841454
"(3, 1, 2)",0.11021206156785307
"(3, 1, 3)",0.10565906664307734
"(3, 1, 4)",0.10703161651294921
"(3, 1, 5)",0.10847290190991336
"(3, 1, 6)",0.1084895743122515
"(3, 1, 7)",0.10449451874419313
"(4, 0, 0)",0.11401672301140393
"(4, 0, 1)",0.11387701098665684
"(4, 0, 2)",0.1138237418635899
"(4, 0, 3)",0.11264674999599555
"(4, 0, 4)",0.108423759359606
"(4, 0, 5)",0.1117228495367178
"(4, 0, 6)",0.11048155677273326
"(4, 0, 7)",0.10062482007320371
"(4, 1, 0)",0.11805591623304966
"(4, 1, 1)",0.11393598783090579
"(4, 1, 2)",0.11343614252826878
"(4, 1, 3)",0.10644796984628849
"(4, 1, 4)",0.10905920465021902
"(4, 1, 5)",0.10730365890160502
"(4, 1, 6)",0.09571610773066475
"(4, 1, 7)",0.11182935236663588
"(5, 0, 0)",0.1139000869946838
"(5, 0, 1)",0.11385639712424672
"(5, 0, 2)",0.11723421635741964
"(5, 0, 3)",0.11959838631940226
"(5, 0, 4)",0.11444460178620999
"(5, 0, 5)",0.1110998096509184
"(5, 0, 6)",0.1069186362696831
"(5, 0, 7)",0.10312686304448325
"(5, 1, 0)",0.11898899858555716
"(5, 1, 1)",0.11357867890338035
"(5, 1, 2)",0.11234301567189939
"(5, 1, 3)",0.10742160706604784
"(5, 1, 4)",0.11194417975799036
"(5, 1, 5)",0.10836505544837637
"(5, 1, 6)",0.09144037951968265
"(5, 1, 7)",0.10934579739702495
"(6, 0, 0)",0.11376467600440157
"(6, 0, 1)",0.10959337732496648
"(6, 0, 2)",0.11671118504663736
"(6, 0, 3)",0.12016555832693343
"(6, 0, 4)",0.11582152550789948
"(6, 0, 5)",0.11220148164653344
"(6, 0, 6)",0.1075964993278323
"(6, 0, 7)",0.09677912373192321
"(6, 1, 0)",0.11940756632101081
"(6, 1, 1)",0.1133330914621186
"(6, 1, 2)",0.11288414268583817
"(6, 1, 3)",0.11197092800965566
"(6, 1, 4)",0.10657996590305326
"(6, 1, 5)",0.0954121474745017
"(6, 1, 6)",0.09287116213886348
"(6, 1, 7)",0.08891210201458487
"(7, 0, 0)",0.11320907966808058
"(7, 0, 1)",0.0936468643396836
"(7, 0, 2)",0.10552513036701777
"(7, 0, 3)",0.11119494274813588
"(7, 0, 4)",0.11392256479130217
"(7, 0, 5)",0.09195755940948153
"(7, 0, 6)",0.07638364535042724
"(7, 0, 7)",0.07616641338414175
"(7, 1, 0)",0.11998116906642707
"(7, 1, 1)",0.11462806289992053
"(7, 1, 2)",0.1130559238777813
"(7, 1, 3)",0.10835266537868087
"(7, 1, 4)",0.11340166082724301
"(7, 1, 5)",0.09419093896929485
"(7, 1, 6)",0.09691589650044084
"(7, 1, 7)",0.08907541331668974
